名称,所在地,カテゴリ
二葉三防災広場,東京都品川区二葉3-11-15,文化・スポーツ施設・公園
ぞう３広場,東京都品川区戸越3-7-4,文化・スポーツ施設・公園
出石こいこい広場,東京都品川区西大井3-11-3,文化・スポーツ施設・公園
天王洲アイル第三水辺広場,東京都品川区東品川2-1-18,文化・スポーツ施設・公園
天王洲アイル第五水辺広場,東京都品川区東品川2-6-1,文化・スポーツ施設・公園
豊町5-14開放広場,東京都品川区豊町5-14-7,文化・スポーツ施設・公園
東品川2-3開放広場,東京都品川区東品川2-3-2,文化・スポーツ施設・公園
二葉三南防災広場,東京都品川区二葉3-24-12,文化・スポーツ施設・公園
西六一区防災広場,東京都品川区西大井6-7-4,文化・スポーツ施設・公園
武蔵小山駅前公衆便所,東京都品川区小山3-27-1,区民生活関連施設
新馬場北公衆便所,東京都品川区北品川2-18-1,区民生活関連施設
西大井公衆便所,東京都品川区西大井1-3-2,区民生活関連施設
大井町駅東口公衆便所,東京都品川区東大井5-20-13,区民生活関連施設
不動前公衆便所,東京都品川区西五反田5-1-19,区民生活関連施設
谷山公園公園便所,東京都品川区西五反田3-6-15,区民生活関連施設
五反田シルバーセンター,東京都品川区東五反田2-15-6,高齢者福祉施設
西五反田シルバーセンター,東京都品川区西五反田3-9-10,高齢者福祉施設
上大崎シルバーセンター,東京都品川区上大崎1-3-12,高齢者福祉施設
南大井シルバーセンター,東京都品川区南大井3-7-13,高齢者福祉施設
ゆたかシルバーセンター,東京都品川区豊町3-2-15,高齢者福祉施設
旗の台シルバーセンター,東京都品川区旗の台4-13-1,高齢者福祉施設
小山シルバーセンター,東京都品川区小山5-17-18,高齢者福祉施設
関ヶ原シルバーセンター,東京都品川区東大井6-11-11,高齢者福祉施設
後地シルバーセンター,東京都品川区小山2-9-19,高齢者福祉施設
南品川シルバーセンター,東京都品川区南品川5-10-3,高齢者福祉施設
西大井いきいきセンター,東京都品川区西大井2-5-21,高齢者福祉施設
大崎ゆうゆうプラザ,東京都品川区大崎2-7-13,高齢者福祉施設
平塚橋ゆうゆうプラザ,東京都品川区西中延1-2-8,高齢者福祉施設
平塚ゆうゆうプラザ,東京都品川区平塚2-10-20,高齢者福祉施設
東品川ゆうゆうプラザ,東京都品川区東品川3-32-10,高齢者福祉施設
北品川ゆうゆうプラザ,東京都品川区北品川1-29-12,高齢者福祉施設
山中いきいき広場,東京都品川区大井3-7-19,高齢者福祉施設
荏原いきいき倶楽部,東京都品川区荏原6-2-8,高齢者福祉施設
いきいきラボ関ヶ原,東京都品川区東大井6-11-11,高齢者福祉施設
大井三丁目高齢者憩いの場,東京都品川区大井3-17-16,高齢者福祉施設
特別養護老人ホーム「かえで荘」,東京都品川区八潮5-1-1,高齢者福祉施設
